pub_date,headline,abstract,snippet,lead_paragraph,source,type_of_material,document_type,word_count,web_url,section_name,subsection_name,news_desk
2020-01-28T17:55:09Z,Travelex Says UK Money Transfer and Wire Services Back Online After Hack,"Travelex's UK international money transfer service and wire offering is fully operational again, it said on Tuesday, almost a month after a crippling ransomware attack forced staff to use pen and paper to calculate foreign currency exchanges.","Travelex's UK international money transfer service and wire offering is fully operational again, it said on Tuesday, almost a month after a crippling ransomware attack forced staff to use pen and paper to calculate foreign currency exchanges.","(Reuters) - Travelex's UK international money transfer service and wire offering is fully operational again, it said on Tuesday, almost a month after a crippling ransomware attack forced staff to use pen and paper to calculate foreign currency exchanges.",Reuters,News,article,278,https://www.nytimes.com/reuters/2020/01/28/business/28reuters-britain-travelex.html,Business Day,,
2020-01-28T17:52:24Z,UK Government Statement on Huawei 5G Network Decision,"Britain will allow ""high risk vendors"" such as Chinese telecoms giant Huawei [HWT.UL] a limited role in building its 5G networks, the government said on Tuesday.","Britain will allow ""high risk vendors"" such as Chinese telecoms giant Huawei [HWT.UL] a limited role in building its 5G networks, the government said on Tuesday.","LONDON — Britain will allow ""high risk vendors"" such as Chinese telecoms giant Huawei [HWT.UL] a limited role in building its 5G networks, the government said on Tuesday.",Reuters,News,article,794,https://www.nytimes.com/reuters/2020/01/28/business/28reuters-britain-usa-huawei-text.html,Business Day,,
2020-01-28T10:00:36Z,"In Snub to US, Britain Will Allow Huawei in 5G Networks","Britain decided Tuesday to let Chinese tech giant Huawei have a limited role supplying new high-speed network equipment to wireless carriers, ignoring the U.S. government's warnings that it would sever intelligence sharing if the company was not banned.","Britain decided Tuesday to let Chinese tech giant Huawei have a limited role supplying new high-speed network equipment to wireless carriers, ignoring the U.S. government's warnings that it would sever intelligence sharing if the company was not b...","LONDON — Britain decided Tuesday to let Chinese tech giant Huawei have a limited role supplying new high-speed network equipment to wireless carriers, ignoring the U.S. government's warnings that it would sever intelligence sharing if the company was not banned.",AP,News,article,919,https://www.nytimes.com/aponline/2020/01/28/business/bc-eu-britain-huawei.html,Business Day,,
2020-01-27T11:10:28Z,Exclusive: Hackers Acting in Turkey's Interests Believed to Be Behind Recent Cyberattacks-Sources,"Sweeping cyberattacks targeting governments and other organizations in Europe and the Middle East are believed to be the work of hackers acting in the interests of the Turkish government, three senior Western security officials said.","Sweeping cyberattacks targeting governments and other organizations in Europe and the Middle East are believed to be the work of hackers acting in the interests of the Turkish government, three senior Western security officials said.","LONDON — Sweeping cyberattacks targeting governments and other organizations in Europe and the Middle East are believed to be the work of hackers acting in the interests of the Turkish government, three senior Western security officials said.",Reuters,News,article,970,https://www.nytimes.com/reuters/2020/01/27/business/27reuters-cyber-attack-hijack-exclusive.html,Business Day,,
2020-01-27T01:00:04Z,"Yes, Secretary Pompeo, Americans Should Care About Ukraine",A former ambassador tells the secretary of state just why.,A former ambassador tells the secretary of state just why.,"As Secretary of State Mike Pompeo prepares to meet President Volodymyr Zelensky of Ukraine in Kyiv later this week, he has reportedly asked, “Do Americans care about Ukraine?”",The New York Times,Op-Ed,article,947,https://www.nytimes.com/2020/01/26/opinion/Pompeo-ukraine-taylor.html,Opinion,,OpEd
2020-01-26T13:00:33Z,"Lessons Learned From 2016, but US Faces New Election Threats","It’s been more than three years since Russia's sweeping and systematic  effort to interfere in U.S. elections through disinformation on social media, stolen campaign emails and attacks on voting systems. U.S. officials have made advances in trying to prevent similar attacks from undermining the 2020 vote, but the potential threats have increased and some old problems have not been addressed. A look at what has changed since 2016 and what has not. ","It’s been more than three years since Russia's sweeping and systematic  effort to interfere in U.S. elections through disinformation on social media, stolen campaign emails and attacks on voting systems. U.S. officials have made advances in trying...","It’s been more than three years since Russia's sweeping and systematic effort to interfere in U.S. elections through disinformation on social media, stolen campaign emails and attacks on voting systems. U.S. officials have made advances in trying to prevent similar attacks from undermining the 2020 vote, but the potential threats have increased and some old problems have not been addressed. A look at what has changed since 2016 and what has not. ",AP,News,article,1666,https://www.nytimes.com/aponline/2020/01/26/business/ap-us-election-security-whats-changed.html,Business Day,,
2020-01-22T23:54:40Z,How Jeff Bezos’ iPhone X Was Hacked,"It most likely began with a tiny bit of code that implanted malware, which gave attackers access to Mr. Bezos’ photos and texts.","It most likely began with a tiny bit of code that implanted malware, which gave attackers access to Mr. Bezos’ photos and texts.","SAN FRANCISCO — On the afternoon of May 1, 2018, Jeff Bezos received a message on WhatsApp from an account belonging to Saudi Arabia’s crown prince, Mohammed bin Salman.",The New York Times,News,article,1570,https://www.nytimes.com/2020/01/22/technology/jeff-bezos-hack-iphone.html,Technology,,Business
2020-01-20T10:00:19Z,The Wrong Track for Confronting Iran,The Arab Middle East is far too weakened and divided to support a Trump administration strategy for containing the Islamic republic’s ambitions.,The Arab Middle East is far too weakened and divided to support a Trump administration strategy for containing the Islamic republic’s ambitions.,"In the quick escalation of tensions and attacks between the United States and Iran this month, each side threw down a gauntlet. Secretary of State Michael Pompeo defined America’s goal as to “confront and contain.” Iran’s rulers said they won’t be satisfied until America leaves the Middle East.",The New York Times,Op-Ed,article,1254,https://www.nytimes.com/2020/01/20/opinion/iran-trump.html,Opinion,,OpEd
2020-01-09T22:45:19Z,"Hackers Cripple Airport Currency Exchanges, Seeking $6 Million Ransom","Travelex’s stores, airport counters and exchange services were forced offline by a ransomware attack on New Year’s Eve.","Travelex’s stores, airport counters and exchange services were forced offline by a ransomware attack on New Year’s Eve.","The numbers that usually glow with exchange rates on Travelex boards in airports worldwide have gone dark, after the London-based currency exchange company was forced to go offline after it discovered a ransomware attack on Dec. 31. ",The New York Times,News,article,975,https://www.nytimes.com/2020/01/09/business/travelex-hack-ransomware.html,Business Day,,Business
2020-01-09T00:03:22Z,"Its Missiles Did Little Damage, but Iran Has More Potent Weapons","Drones, militants and hackers: Iran has an array of stealthier and more effective options if hostilities escalate.","Drones, militants and hackers: Iran has an array of stealthier and more effective options if hostilities escalate.","American military and intelligence officials were stunned at the precision, scale and sheer boldness of what they later concluded was an Iranian attack.",The New York Times,News,article,1589,https://www.nytimes.com/2020/01/08/world/middleeast/irans-weapons-military.html,World,Middle East,Foreign
2020-01-08T23:03:30Z,"Iran, Puerto Rico, British Royals: Your Wednesday Evening Briefing",Here’s what you need to know at the end of the day.,Here’s what you need to know at the end of the day.,(Want to get this briefing by email? Here’s the sign-up.) ,The New York Times,briefing,article,1086,https://www.nytimes.com/2020/01/08/briefing/iran-puerto-rico-british-royals.html,Briefing,,NYTNow
